pred_date,buy_date,sell_date,baseline_return,latest_return,baseline_portfolio,latest_portfolio
2026-04-16,2026-04-17,2026-04-23,0.006914270102073072,0.024831745979197392,601939:0.2000|600919:0.2000|601916:0.2000|601818:0.2000|601328:0.2000,002371:0.2554|688012:0.4000|000063:0.1554|601939:0.1063|600919:0.0829
2026-04-17,2026-04-20,2026-04-24,0.011835790053261104,0.01003601580381637,601939:0.2000|600919:0.2000|601916:0.2000|601818:0.2000|601328:0.2000,600089:0.2181|688981:0.4001|600584:0.1839|601939:0.1130|600919:0.0849
2026-04-20,2026-04-21,2026-04-27,-0.0015168023505729251,0.007012449267016691,601939:0.2000|601916:0.2000|601818:0.2000|600919:0.2000|601328:0.2000,002028:0.3273|300750:0.3469|002049:0.1458|601939:0.1021|601916:0.0779
2026-04-21,2026-04-22,2026-04-28,-0.010669540910136827,0.009769300405823656,601939:0.2000|601916:0.2000|601328:0.2000|601818:0.2000|600919:0.2000,300750:0.1305|300394:0.2708|002049:0.4000|601939:0.1333|601916:0.0654
2026-04-22,2026-04-23,2026-04-29,0.0003038325617539489,-0.11374978237944286,601939:0.2000|601916:0.2000|601328:0.2000|601818:0.2000|601658:0.2000,300394:0.4000|002028:0.2361|000063:0.1508|601939:0.1213|601916:0.0918
2026-04-23,2026-04-24,2026-04-30,-0.0064454357805846,0.07052583605393603,601939:0.2000|601328:0.2000|601818:0.2000|601916:0.2000|601658:0.2000,688012:0.2086|002371:0.1766|002049:0.4000|601939:0.1317|601328:0.0831
2026-04-24,2026-04-27,2026-05-06,-0.006698670219689212,0.12335957788704509,601328:0.2000|601658:0.2000|601939:0.2000|601818:0.2000|601916:0.2000,002371:0.4000|688012:0.2160|002049:0.1962|601328:0.0641|601658:0.1237
2026-04-27,2026-04-28,2026-05-07,-0.013484284320549836,0.06469048419989941,601658:0.2000|601818:0.2000|601328:0.2000|601939:0.2000|601398:0.2000,000063:0.3989|603986:0.1935|688012:0.2276|601658:0.1179|601818:0.0621
2026-04-28,2026-04-29,2026-05-08,-0.01988814423247487,0.043438891944942506,601658:0.2000|601818:0.2000|601328:0.2000|601939:0.2000|601398:0.2000,300750:0.1909|600584:0.2022|002049:0.4000|601658:0.1322|601818:0.0747
2026-04-29,2026-04-30,2026-05-11,-0.00781938144507019,0.04147786454964559,601658:0.2000|601818:0.2000|601328:0.2000|601398:0.2000|601916:0.2000,002049:0.4000|000063:0.1775|688396:0.1956|601658:0.1480|601818:0.0789
2026-04-30,2026-05-06,2026-05-12,0.0004150873797690401,0.042190579382152184,601658:0.2000|601818:0.2000|601328:0.2000|601916:0.2000|601398:0.2000,000063:0.4000|600089:0.1961|300124:0.1839|601658:0.1500|601818:0.0700
2026-05-06,2026-05-07,2026-05-13,0.003462898737762657,0.03271155911587801,601658:0.2000|601818:0.2000|601916:0.2000|601328:0.2000|601668:0.2000,300014:0.0646|300502:0.3795|002049:0.3759|601658:0.1479|601818:0.0321
2026-05-07,2026-05-08,2026-05-14,-0.0005755168095884916,0.0374404204213285,601818:0.2000|601658:0.2000|601668:0.2000|601398:0.2000|601916:0.2000,603501:0.4001|002028:0.1494|002049:0.2349|601818:0.0656|601658:0.1500
2026-05-08,2026-05-11,2026-05-15,0.0011723406326404266,0.03638476461605339,601818:0.2000|601668:0.2000|601658:0.2000|601398:0.2000|601916:0.2000,300750:0.2525|300476:0.1732|300502:0.4001|601818:0.0242|601668:0.1500
2026-05-11,2026-05-12,2026-05-18,-0.01136323415923513,0.0252272394140776,601668:0.2000|601818:0.2000|601658:0.2000|601398:0.2000|601916:0.2000,603501:0.4000|300782:0.0931|300502:0.3265|601668:0.1500|601818:0.0304
2026-05-12,2026-05-13,2026-05-19,-0.015399743689582331,0.006836551545723098,601818:0.2000|601668:0.2000|601658:0.2000|601398:0.2000|601916:0.2000,603501:0.4000|601138:0.2253|300502:0.1525|601818:0.1005|601668:0.1217
2026-05-13,2026-05-14,2026-05-20,-0.0031255720282154734,-0.03462609588656494,601818:0.2000|601668:0.2000|601658:0.2000|601398:0.2000|601916:0.2000,603501:0.4000|601138:0.1878|002049:0.2170|601818:0.0834|601668:0.1118
2026-05-14,2026-05-15,2026-05-21,-0.013050985220528291,0.004169239833309355,601818:0.2000|601668:0.2000|601398:0.2000|601658:0.2000|601916:0.2000,603893:0.0701|300750:0.3097|002028:0.4000|601818:0.1056|601668:0.1146
2026-05-15,2026-05-18,2026-05-22,-0.009545540921520575,0.013965535105139074,601818:0.2000|601668:0.2000|601398:0.2000|601916:0.2000|601658:0.2000,002049:0.3999|603501:0.2262|601138:0.1570|601818:0.1177|601668:0.0992
2026-05-18,2026-05-19,2026-05-25,-0.005878402520166687,0.03548429737910381,601668:0.2000|601818:0.2000|601398:0.2000|601916:0.2000|601658:0.2000,603501:0.4000|002049:0.2339|688396:0.1559|601668:0.1425|601818:0.0677
